Source,Target,Weight,Type,Layer,timeset,Label
0,8,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
0,19,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
1,8,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
2,8,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
3,8,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
4,17,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
5,18,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
6,17,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
6,18,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
7,19,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
8,21,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
9,21,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
10,15,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
10,31,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
10,30,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
11,14,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
11,28,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
11,29,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
12,14,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
12,28,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
12,29,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
12,127,1.0,CREATE,BETWEEN,"""<[4,35]>""",CREATE
13,14,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
13,28,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
13,29,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
14,15,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
14,31,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
14,30,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
14,28,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
14,29,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
15,16,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
15,31,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
15,30,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
16,123,1.0,UPDATE,BETWEEN,"""<[12,35]>""",UPDATE
17,122,1.0,UPDATE,BETWEEN,"""<[10,35]>""",UPDATE
17,122,1.0,UPDATE,BETWEEN,"""<[31,35]>""",UPDATE
18,19,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
19,124,1.0,UPDATE,BETWEEN,"""<[14,35]>""",UPDATE
19,124,1.0,UPDATE,BETWEEN,"""<[22,35]>""",UPDATE
20,13,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
21,16,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
22,28,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
23,29,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
24,28,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
24,131,1.0,UPDATE,BETWEEN,"""<[17,35]>""",UPDATE
25,29,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
25,128,1.0,CREATE,BETWEEN,"""<[4,35]>""",CREATE
26,28,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
27,29,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
27,129,1.0,CREATE,BETWEEN,"""<[4,35]>""",CREATE
27,129,1.0,UPDATE,BETWEEN,"""<[26,35]>""",UPDATE
28,30,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
29,31,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
30,19,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
31,17,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
31,18,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
32,30,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
33,31,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
34,13,1.0,INTERNAL,NAVARCH,"""<[0,35]>""",INTERNAL
34,130,1.0,CREATE,BETWEEN,"""<[4,35]>""",CREATE
35,61,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
36,47,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
36,48,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
36,49,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
37,47,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
37,48,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
37,49,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
38,47,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
38,48,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
38,49,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
39,79,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
39,51,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
39,118,1.0,SELECT,BETWEEN,"""<[6,35]>""",SELECT
40,80,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
40,36,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
40,119,1.0,SELECT,BETWEEN,"""<[6,35]>""",SELECT
41,81,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
41,37,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
41,120,1.0,SELECT,BETWEEN,"""<[6,35]>""",SELECT
42,82,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
42,38,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
42,121,1.0,SELECT,BETWEEN,"""<[6,35]>""",SELECT
43,51,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
44,36,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
45,37,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
46,38,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
47,48,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
47,49,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
47,127,1.0,UPDATE,BETWEEN,"""<[8,35]>""",UPDATE
48,131,1.0,CREATE,BETWEEN,"""<[15,35]>""",CREATE
48,131,1.0,UPDATE,BETWEEN,"""<[19,35]>""",UPDATE
49,128,1.0,UPDATE,BETWEEN,"""<[8,35]>""",UPDATE
50,91,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
50,92,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
50,94,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
50,93,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
50,79,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
50,80,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
50,81,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
50,82,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
51,47,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
51,48,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
51,49,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
52,64,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
52,59,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
53,35,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
53,56,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
54,79,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
54,80,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
54,81,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
54,82,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
55,130,1.0,UPDATE,BETWEEN,"""<[8,35]>""",UPDATE
56,79,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
57,80,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
58,81,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
59,82,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
60,79,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
60,56,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
60,57,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
60,59,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
60,58,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
60,80,1.0,INTERNAL,OPS,"""<[0,35]>""",INTERNAL
