Id,Label,timeset,Layer,Layer[z]
0,LWL,"""<[0,35]>""",NAVARCH,2
1,B,"""<[0,35]>""",NAVARCH,2
2,T,"""<[0,35]>""",NAVARCH,2
3,Cb,"""<[0,35]>""",NAVARCH,2
4,BMT,"""<[0,35]>""",NAVARCH,2
5,BML,"""<[0,35]>""",NAVARCH,2
6,KB,"""<[0,35]>""",NAVARCH,2
7,LCB,"""<[0,35]>""",NAVARCH,2
8,V,"""<[0,35]>""",NAVARCH,2
9,density_SW,"""<[0,35]>""",NAVARCH,2
10,W_LS,"""<[0,35]>""",NAVARCH,2
11,W_misc,"""<[0,35]>""",NAVARCH,2
12,W_veh,"""<[0,35]>""",NAVARCH,2
13,W_fuel,"""<[0,35]>""",NAVARCH,2
14,W_DWT,"""<[0,35]>""",NAVARCH,2
15,W_tot,"""<[0,35]>""",NAVARCH,2
16,%,"""<[0,35]>""",NAVARCH,2
17,GMT,"""<[0,35]>""",NAVARCH,2
18,GML,"""<[0,35]>""",NAVARCH,2
19,Trim,"""<[0,35]>""",NAVARCH,2
20,density_JP5,"""<[0,35]>""",NAVARCH,2
21,Disp,"""<[0,35]>""",NAVARCH,2
22,x_misc,"""<[0,35]>""",NAVARCH,2
23,z_misc,"""<[0,35]>""",NAVARCH,2
24,x_veh,"""<[0,35]>""",NAVARCH,2
25,z_veh,"""<[0,35]>""",NAVARCH,2
26,x_fuel,"""<[0,35]>""",NAVARCH,2
27,z_fuel,"""<[0,35]>""",NAVARCH,2
28,x_DWT,"""<[0,35]>""",NAVARCH,2
29,z_DWT,"""<[0,35]>""",NAVARCH,2
30,x_tot,"""<[0,35]>""",NAVARCH,2
31,z_tot,"""<[0,35]>""",NAVARCH,2
32,x_LS,"""<[0,35]>""",NAVARCH,2
33,z_LS,"""<[0,35]>""",NAVARCH,2
34,V_fuel,"""<[0,35]>""",NAVARCH,2
35,flow_rate_F35,"""<[0,35]>""",OPS,2
36,W_V22,"""<[0,35]>""",OPS,2
37,W_AV8B,"""<[0,35]>""",OPS,2
38,W_SH60,"""<[0,35]>""",OPS,2
39,n_F35,"""<[0,35]>""",OPS,2
40,n_V22,"""<[0,35]>""",OPS,2
41,n_AV8B,"""<[0,35]>""",OPS,2
42,n_SH60,"""<[0,35]>""",OPS,2
43,w_F35,"""<[0,35]>""",OPS,2
